# VSS hardware run — 2026-04-20T12:59:15
# mu=0.001  mu_omega=0.0  control_fs=800.0  log_hz=100.0
# cancel_dur=240.0s  actual_dur=240.01s  n_samples=24001
# F_init_hz=[8.499999966281907]  max_amp_per_tone=9.0mm  max_total_amp=60.0mm
# dir_invert=True  simulate=False
# NOTE: C_mm, S_mm, f_hz, A_mm are tone 1 only
t_s,e_m_s2,C_mm,S_mm,f_hz,A_mm
2.389189,0.378066,0.060789,-0.127265,8.497102,0.141038
2.399189,0.169890,0.061856,-0.128656,8.497102,0.142753
2.409188,-0.234497,0.060801,-0.128458,8.497102,0.142120
2.419189,-0.287139,0.058680,-0.128906,8.497102,0.141634
2.429191,-0.315853,0.056896,-0.130530,8.497102,0.142391
2.439423,-0.081356,0.056384,-0.131770,8.497102,0.143327
2.449189,0.071785,0.056284,-0.131675,8.497102,0.143200
2.459189,-0.196211,0.056906,-0.132132,8.497102,0.143865
2.469189,-0.394816,0.059373,-0.132721,8.497102,0.145396
2.479188,-0.260818,0.061765,-0.132153,8.497102,0.145874
2.489190,-0.131605,0.062808,-0.131183,8.497102,0.145444
2.499189,0.212961,0.062814,-0.131871,8.497102,0.146067
2.509189,0.356531,0.063534,-0.134006,8.497102,0.148304
2.519189,-0.064606,0.064230,-0.134953,8.497102,0.149458
2.529192,-0.272782,0.062903,-0.134781,8.497102,0.148737
2.539189,-0.308674,0.060728,-0.135526,8.497102,0.148510
2.550221,-0.258425,0.059239,-0.137202,8.497102,0.149445
2.559189,-0.009571,0.058918,-0.138221,8.497102,0.150254
2.569189,-0.004786,0.058935,-0.138275,8.497102,0.150311
2.579189,-0.342174,0.060112,-0.139003,8.497102,0.151444
2.589189,-0.339781,0.062780,-0.139407,8.497102,0.152891
2.599406,-0.227318,0.064984,-0.138577,8.497102,0.153057
2.609189,-0.019143,0.065784,-0.137701,8.497102,0.152608
2.619189,0.368495,0.065858,-0.138711,8.497102,0.153551
2.629189,0.184247,0.066729,-0.140916,8.497102,0.155917
2.639189,-0.157926,0.066992,-0.141314,8.497102,0.156389
2.649190,-0.287139,0.065362,-0.141235,8.497102,0.155626
2.659189,-0.294317,0.063296,-0.142225,8.497102,0.155674
2.669189,-0.150748,0.062108,-0.143892,8.497102,0.156724
2.679189,0.066999,0.061978,-0.144651,8.497102,0.157370
2.689189,-0.119641,0.061969,-0.144471,8.497102,0.157201
2.699189,-0.373280,0.063244,-0.145153,8.497102,0.158333
2.709189,-0.246461,0.065945,-0.145275,8.497102,0.159542
2.719189,-0.169890,0.067532,-0.144428,8.497102,0.159436
2.729189,0.145962,0.068006,-0.143866,8.497102,0.159130
2.739189,0.380459,0.068107,-0.145479,8.497102,0.160632
2.749191,0.023928,0.069400,-0.147806,8.497102,0.163288
2.759188,-0.253639,0.069298,-0.147824,8.497102,0.163261
2.769189,-0.303888,0.067246,-0.147908,8.497102,0.162477
2.779189,-0.296710,0.065226,-0.149198,8.497102,0.162832
2.789189,0.004786,0.064239,-0.150998,8.497102,0.164095
2.799189,0.028714,0.064229,-0.150938,8.497102,0.164035
2.809189,-0.265603,0.064319,-0.150948,8.497102,0.164080
